feature,outlierCount,outlierCount%,level,statMeanDiff,statMedianDiff,statVarDiff,mi
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_salivarius,15,4.261363636363637,7,-0.005457759,0.22696507,-0.08462083,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_raffinolactis,15,4.261363636363637,7,0.0845381,0.15845495,0.11772904,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gallinarum,2,0.5681818181818182,7,0.020728886,0.19731998,-0.01348716,0.00067916329419071
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Paeniclostridium|s__Paeniclostridium_sordellii,94,26.704545454545453,7,0.019440532,-0.0042000115,0.01860363,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_alactolyticus,9,2.5568181818181817,7,0.028765678,0.13625997,-0.003394276,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_ceti,19,5.3977272727272725,7,0.01578188,0.04587999,0.007968895,0.03215027893436062
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB42674|s__GGB42674_SGB66070,39,11.079545454545455,7,0.008820325,0.023575008,-0.022951558,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_cecorum,6,1.7045454545454546,7,0.030467391,0.09574497,0.014862984,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_sakei,13,3.6931818181818183,7,0.06903273,0.12437999,0.17123425,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis,21,5.965909090909091,7,0.021425545,0.056650013,0.011852823,0.01889739841786975
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus,8,2.272727272727273,7,0.028651,0.10480499,0.020867914,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_silagei,17,4.829545454545454,7,0.0055767,0.025545001,0.0011212807,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri,35,9.943181818181818,7,-0.0152345,-0.025260001,-0.017032832,0.011661200995426002
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_iniae,7,1.9886363636363635,7,0.029875487,0.050919995,0.09228278,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii,0,0.0,7,0.017383516,0.070815,0.0029905587,0.001542483355218227
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_stercorisuis,101,28.693181818181817,7,0.007882111,-0.005429998,0.0021968335,0.014836929278604138
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_aviarius,49,13.920454545454545,7,-0.02262348,0.009039998,0.04383251,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_sp_SNU_WT4|t__SGB81663,149,42.32954545454545,8,-0.34360838,-0.095645,0.2692566,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_sp_8H|t__SGB77487,149,42.32954545454545,8,-0.60409546,1.18185,-1.8583984,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Craterilacuibacter|s__Craterilacuibacter_sp_RT1T|t__SGB110271,151,42.89772727272727,8,-0.065512836,-0.017305002,-0.6934314,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_russellii|t__SGB745,23,6.534090909090909,8,-0.39322662,0.80133533,-62.913025,0.016291954720229818
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum|t__SGB7902,0,0.0,8,0.06395243,0.0,4.3836365,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__SGB6191,49,13.920454545454545,8,0.09138179,0.40867996,-1.309329,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae|t__SGB7979,10,2.840909090909091,8,-0.4359274,0.42239475,-17.508823,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_russellii|t__SGB743,38,10.795454545454545,8,0.24831629,0.34229004,0.33642626,0.008841586592739148
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_dysgalactiae|t__SGB8219,2,0.5681818181818182,8,0.062221527,0.5820999,-0.43817806,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parauberis|t__SGB8228,4,1.1363636363636365,8,-0.25861073,-0.103125095,-2.7908745,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus|t__SGB7045,0,0.0,8,0.09616423,0.57338476,-0.21912241,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985,0,0.0,8,0.084279776,0.45575023,-0.14037085,0.002818070232524228
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter|s__Polynucleobacter_yangtzensis|t__SGB30622,165,46.875,8,-0.35255265,0.00301,-42.97525,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus|t__SGB7050,23,6.534090909090909,8,0.25671256,0.30154502,16.218288,0.015361722854973614
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fessus|t__SGB29903,3,0.8522727272727273,8,0.06107539,0.04695499,0.06394306,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_piscifermentans|t__SGB7831,32,9.090909090909092,8,0.030270338,0.0046550035,0.07719898,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_kitasatonis|t__SGB7051,26,7.386363636363637,8,0.25316286,0.10592002,12.46023,0.0499099269590515
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_salivarius|t__SGB7082,15,4.261363636363637,8,-0.005457759,0.22696507,-0.08462083,0.008881506954987017
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_raffinolactis|t__SGB7989,15,4.261363636363637,8,0.0845381,0.15845495,0.11772904,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gallinarum|t__SGB7047,2,0.5681818181818182,8,0.020728886,0.19731998,-0.01348716,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Paeniclostridium|s__Paeniclostridium_sordellii|t__SGB6146,94,26.704545454545453,8,0.019440532,-0.0042000115,0.01860363,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_garvieae|t__SGB7981,19,5.3977272727272725,8,0.009124339,0.14117503,-0.033768266,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_alactolyticus|t__SGB8017,9,2.5568181818181817,8,0.028765678,0.13625997,-0.003394276,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_ceti|t__SGB7110,19,5.3977272727272725,8,0.01578188,0.04587999,0.007968895,0.004382694719784919
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB42674|s__GGB42674_SGB66070|t__SGB66070,39,11.079545454545455,8,0.008820325,0.023575008,-0.022951558,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_cecorum|t__SGB7961,6,1.7045454545454546,8,0.030333638,0.09323999,0.014555067,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_sakei|t__SGB7248,12,3.409090909090909,8,0.06910604,0.12437999,0.17144108,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis|t__SGB7918,20,5.681818181818182,8,0.02230668,0.054810017,0.012509689,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus|t__SGB7249,8,2.272727272727273,8,0.028651,0.10480499,0.020867914,0.011625785917030784
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_silagei|t__SGB49085,17,4.829545454545454,8,0.0055767,0.025545001,0.0011212807,0.0019860226239727385
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri|t__SGB7095,35,9.943181818181818,8,-0.0152345,-0.025260001,-0.017032832,0.033866479002995886
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_iniae|t__SGB8227,7,1.9886363636363635,8,0.029875487,0.050919995,0.09228278,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii|t__SGB7041,0,0.0,8,0.017383516,0.070815,0.0029905587,0.005279775989359026
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_stercorisuis|t__SGB94692,101,28.693181818181817,8,0.007882111,-0.005429998,0.0021968335,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_aviarius|t__SGB7086,49,13.920454545454545,8,-0.02262348,0.009039998,0.04383251,0.0
k__Archaea,0,0.0,1,0.0026401873,0.0,0.0021182273,0.0
k__Bacteria|p__Actinobacteria,89,25.28409090909091,2,0.47806215,-0.017704964,46.867813,0.006837554409601543
k__Archaea|p__Euryarchaeota,0,0.0,2,0.0027550603,0.0,0.0021068351,0.01069210482575711
k__Bacteria|p__Actinobacteria|c__Actinomycetia,88,25.0,3,0.4826193,-0.013705015,46.82125,0.043122186682772234
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0,0.0,3,0.005184492,0.0,0.00038170058,0.02463843388669895
k__Bacteria|p__Firmicutes|c__CFGB1765,0,0.0,3,0.00037272274,0.0,1.8278572e-05,0.03416338839732669
k__Bacteria|p__Firmicutes|c__CFGB75721,0,0.0,3,0.0004221924,0.0,7.1818213e-06,0.0
k__Bacteria|p__Firmicutes|c__CFGB79326,159,45.17045454545455,3,0.006018907,-0.0063,0.0005533935,0.0012944982934794957
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0,0.0,3,0.003445696,0.0,0.0021932295,0.012323098791994225
k__Bacteria|p__Firmicutes|c__CFGB1677,0,0.0,3,0.00038588553,0.0,4.972978e-06,0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia,0,0.0,3,-0.0056730947,0.0,-0.0007897968,0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales,65,18.46590909090909,4,-0.05306694,-0.043845013,-0.11317842,0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0,0.0,4,0.005184492,0.0,0.00038170058,0.02539963543586632
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales,105,29.829545454545453,4,0.58139014,-0.012154996,48.518616,0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765,0,0.0,4,0.00037272274,0.0,1.8278572e-05,0.0
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721,0,0.0,4,0.0004221924,0.0,7.1818213e-06,0.010922748107975888
k__Bacteria|p__Firmicutes|c__CFGB79326|o__OFGB79326,159,45.17045454545455,4,0.006018907,-0.0063,0.0005533935,0.011546734118781377
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0,0.0,4,0.003445696,0.0,0.0021932295,0.0
k__Bacteria|p__Firmicutes|c__CFGB1677|o__OFGB1677,0,0.0,4,0.00038588553,0.0,4.972978e-06,0.00023038412048315138
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales,0,0.0,4,0.0011825934,0.0,0.0009584655,0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales,0,0.0,4,-0.0048545976,0.0,-0.0005100088,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,0,0.0,5,0.02013228,-0.00138,0.008387683,0.008155450140105325
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae,65,18.46590909090909,5,-0.05306694,-0.043845013,-0.11317842,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae,111,31.53409090909091,5,0.03148608,0.008430004,0.03497118,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae,79,22.443181818181817,5,0.0070229173,-0.024465002,0.0012828279,0.018025983936139856
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Tissierellaceae,0,0.0,5,0.004659785,-0.00205,0.0005034539,0.0362787106184137
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae,0,0.0,5,0.0040243044,0.0,0.0003854232,0.008803043552741308
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae,119,33.80681818181818,5,-0.0171704,0.011785001,-0.00987434,0.0
